ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Apr-1997","EQ","1,080.00","1,143.00","1,080.00","1,074.40","-","1,130.65","1,123.56","1,200.00","485.00",4600,"5,168,390.00",
"02-Apr-1997","EQ","1,050.00","1,077.00","1,050.00","1,009.60","-","1,074.40","1,066.66","1,200.00","485.00",4200,"4,479,955.00",
"01-Apr-1997","EQ","950.05","1,034.95","950.00","1,022.60","-","1,009.60","1,008.89","1,200.00","471.50",5800,"5,851,555.00",
"31-Mar-1997","EQ","1,022.60","1,022.60","1,022.60","1,099.55","-","1,022.60","1,022.60","1,200.00","471.50",100,"102,260.00",
"27-Mar-1997","EQ","1,082.95","1,100.00","1,071.00","1,061.00","-","1,099.55","1,091.60","1,200.00","471.50",5500,"6,003,800.00",
"26-Mar-1997","EQ","1,035.10","1,061.00","1,035.10","1,050.55","-","1,061.00","1,058.17","1,200.00","471.50",2200,"2,327,980.00",
"25-Mar-1997","EQ","1,025.00","1,065.00","1,018.55","1,023.00","-","1,050.55","1,042.57","1,200.00","471.50",4500,"4,691,575.00",
"21-Mar-1997","EQ","1,023.00","1,025.00","1,010.05","1,025.00","-","1,023.00","1,015.31","1,200.00","471.50",16700,"16,955,735.00",
"20-Mar-1997","EQ","965.10","1,029.00","965.10","1,024.80","-","1,025.00","1,015.19","1,200.00","471.50",5000,"5,075,945.00",
"19-Mar-1997","EQ","1,038.00","1,040.00","1,023.00","1,023.40","-","1,024.80","1,033.29","1,200.00","471.50",1900,"1,963,255.00",
"18-Mar-1997","EQ","1,042.05","1,045.00","1,010.00","1,040.00","-","1,023.40","1,026.73","1,200.00","468.50",20500,"21,047,975.00",
